song_ranking,artist_name,song_title,track_spotify_ID,artist_spotify_ID,song_duration[ms],song_release_date,spotify_popularity,album_name,album_type,song_ID,artist_ID,album_ID
87,Wale Featuring J. Cole,Poke It Out,1IeCWMwZs4rCmwPOjZYWN7,67nwj3Y5sZQLl72VNUHEYE,183333,2021-09-30,71,Poke It Out (feat. J. Cole),single,87,87,87
88,Cody Johnson,'Til You Can't,4k3lPl8YTKuY8c1HelVnm3,6zLBxLdl60ekBLpawtT63I,224213,2021-10-08,76,Human The Double Album,album,88,88,88
89,Moneybagg Yo, Scorpio,0BFGDkrXAneskCJdudSCro,3tJoFztHeIJkJWMrx0td2f,165772,2021-10-22,74,A Gangsta’s Pain: Reloaded,album,89,89,89
90,Doja Cat,Woman	,6Uj1ctrBOjOas8xZXGqKk4,5cj0lLjcoR7YOSnhnX0Po5,172626,2021-06-25,96,Planet Her,album,90,90,90
91,Lee Brice,Memory I Don't Mess With,7BQE1P0NUalHSvFtrxasx9,5Zq7R5qmi58ByYyBQTlNuk,180616,2020-10-16,70,Memory I Don't Mess With,single,91,91,91
92,Eric Church,Heart On Fire,0ysCB1Jg4hli0XlEWlipo7,2IvkS5MXK0vPGnwyJsrEyV,258799,2021-04-16,71,Heart,album,92,92,92
93,Kelsea Ballerini Featuring Kenny Chesney,Half Of My Hometown,59xdsxc0QGW6TDA3ZuQ9tS,3RqBeV12Tt7A8xH3zBDDUF,231832,2021-03-26,70,half of my hometown,single,93,93,93
94,Swedish House Mafia & The Weeknd,Moth To A Flame,2gpWyfu7eZ01zzncHpxOtA,1h6Cn3P4NGzXbaXidqURXs,234000,2021-10-22,93,Moth To A Flame,single,94,94,94
95,Jessie Murph,Always Been You,2zpZkOV7sD9C4Cv0cukoHV,2yLzlEFtIS0Q9UkyBZdQA7,131824,2021-11-24,80,Always Been You,single,95,95,95
96,Jonas Brothers,Who's In Your Head,5nhW8I46uDE5sc5ouEbzao,7gOdHgIoIKoe4i9Tta6qdD,183536,2021-09-17,76,Who's In Your Head,single,96,96,96
97,"Yung Bleu, Chris Brown & 2 Chainz",Baddest,0sr0YMdDTNNr4Lv4VnI3C8,7wlFDEWiM5OoIAt8RSli8b,160000,2021-09-24,65,"Sincerely, Kentrell",album,97,97,97
98,42 Dugg Featuring Future,Maybach,2Qt8qG9SWPdtRiaWcPNJRm,45gHcnDnMC15sgx3VL7ROG,199093,2021-05-21,72,Free Dem Boyz,album,98,98,98
99,Aventura x Bad Bunny,Volvi,2vmfvSoZBFAt9hhRoEByLi,1qto4hHid1P71emI6Fd8xi,230125,2021-08-03,92,Volví,single,99,99,99
100,Summer Walker & JT,Ex For A Reason,1De7cOMrdUnVpjWBaowMg4,57LYzLEk2LcFghVwuWbcuS,225502,2021-11-05,75,Still Over It,album,100,100,100
